@timestamp,regra,acao,ip_origem,pais,metodo,uri
2026-03-30 02:50:16.181,Default_Action,ALLOW,66.249.66.204,US,GET,/ads.txt
2026-03-30 02:50:15.835,Default_Action,ALLOW,52.15.147.27,US,HEAD,/
2026-03-30 02:50:15.792,Default_Action,ALLOW,52.15.147.27,US,HEAD,/
2026-03-30 02:50:14.613,Default_Action,ALLOW,3.212.128.62,US,HEAD,/
2026-03-30 02:49:59.757,Default_Action,ALLOW,5.161.113.195,US,HEAD,/
2026-03-30 02:49:59.729,Default_Action,ALLOW,5.161.113.195,US,HEAD,/
2026-03-30 02:49:53.397,Default_Action,ALLOW,173.252.95.113,US,GET,/meta.json
2026-03-30 02:49:53.216,Default_Action,ALLOW,173.252.95.57,US,GET,/meta.json
2026-03-30 02:49:44.970,Default_Action,ALLOW,3.20.63.178,US,HEAD,/
2026-03-30 02:49:44.772,Default_Action,ALLOW,5.161.215.244,US,HEAD,/
2026-03-30 02:49:44.756,Default_Action,ALLOW,5.161.215.244,US,HEAD,/
2026-03-30 02:49:40.256,Default_Action,ALLOW,3.20.63.178,US,HEAD,/
2026-03-30 02:49:40.215,Default_Action,ALLOW,3.20.63.178,US,HEAD,/
2026-03-30 02:49:39.600,Default_Action,ALLOW,5.161.73.160,US,HEAD,/
2026-03-30 02:49:24.038,Default_Action,ALLOW,5.161.75.7,US,HEAD,/
2026-03-30 02:49:23.956,Default_Action,ALLOW,5.161.75.7,US,HEAD,/
2026-03-30 02:49:11.077,Default_Action,ALLOW,34.198.201.66,US,HEAD,/
2026-03-30 02:49:10.393,Default_Action,ALLOW,5.161.117.52,US,HEAD,/
2026-03-30 02:49:10.380,Default_Action,ALLOW,5.161.117.52,US,HEAD,/
2026-03-30 02:49:05.268,Default_Action,ALLOW,178.156.185.127,US,HEAD,/
2026-03-30 02:49:05.229,Default_Action,ALLOW,178.156.185.127,US,HEAD,/
2026-03-30 02:49:05.219,Default_Action,ALLOW,178.156.185.127,US,HEAD,/
2026-03-30 02:48:55.100,Default_Action,ALLOW,186.204.57.173,BR,GET,/favicon.ico
2026-03-30 02:48:55.098,Default_Action,ALLOW,186.204.57.173,BR,GET,/favicon.ico
2026-03-30 02:48:55.024,Default_Action,ALLOW,49.13.167.123,DE,HEAD,/
2026-03-30 02:48:54.926,Default_Action,ALLOW,186.204.57.173,BR,GET,/uti/
2026-03-30 02:48:54.926,Default_Action,ALLOW,186.204.57.173,BR,GET,/uti/
2026-03-30 02:48:54.781,Default_Action,ALLOW,186.204.57.173,BR,GET,/uti
2026-03-30 02:48:54.779,Default_Action,ALLOW,186.204.57.173,BR,GET,/uti
2026-03-30 02:48:54.652,Default_Action,ALLOW,49.13.167.123,DE,HEAD,/
2026-03-30 02:48:53.227,Default_Action,ALLOW,186.204.57.173,BR,GET,/uti
2026-03-30 02:48:53.174,Default_Action,ALLOW,186.204.57.173,BR,GET,/uti
2026-03-30 02:48:49.970,Default_Action,ALLOW,52.87.72.16,US,HEAD,/
2026-03-30 02:48:49.928,Default_Action,ALLOW,52.87.72.16,US,HEAD,/
2026-03-30 02:48:44.503,Default_Action,ALLOW,31.13.103.114,DK,GET,/meta.json
2026-03-30 02:48:44.496,Default_Action,ALLOW,31.13.103.6,DK,GET,/meta.json
2026-03-30 02:48:37.048,Default_Action,ALLOW,18.116.205.62,US,HEAD,/
2026-03-30 02:48:36.896,Default_Action,ALLOW,5.161.194.92,US,HEAD,/
2026-03-30 02:48:36.880,Default_Action,ALLOW,5.161.194.92,US,HEAD,/
2026-03-30 02:48:31.625,Default_Action,ALLOW,3.149.57.90,US,HEAD,/
2026-03-30 02:48:31.581,Default_Action,ALLOW,3.149.57.90,US,HEAD,/
2026-03-30 02:48:31.543,Default_Action,ALLOW,5.161.75.7,US,HEAD,/
2026-03-30 02:48:16.423,Default_Action,ALLOW,34.198.201.66,US,HEAD,/
2026-03-30 02:48:16.285,Default_Action,ALLOW,34.198.201.66,US,HEAD,/
2026-03-30 02:48:01.572,Default_Action,ALLOW,5.161.73.160,US,HEAD,/
